episode_id,batch,task_id,category,family,condition,condition_name,model,repeat,Q,Z,W,F,ZWF,all_reads,first_mutation,reads_before_first_mutation,total_tool_calls,success,error_type
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r0,primary,multi_turn_miss_param_2,miss_param,compression,C3,static,qwen25_72b,0,6,0,1,1,0,10,1,1,16,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r0,primary,multi_turn_miss_param_2,miss_param,compression,C4,apca,qwen25_72b,0,2,0,1,1,0,23,1,1,32,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r1,primary,multi_turn_miss_param_2,miss_param,compression,C1,neutral,qwen25_72b,1,6,0,1,1,0,18,1,1,24,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r1,primary,multi_turn_miss_param_2,miss_param,compression,C3,static,qwen25_72b,1,6,0,1,1,0,10,1,1,16,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r1,primary,multi_turn_miss_param_2,miss_param,compression,C4,apca,qwen25_72b,1,2,0,1,1,0,23,1,1,32,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r2,primary,multi_turn_miss_param_2,miss_param,compression,C1,neutral,qwen25_72b,2,6,0,1,1,0,18,1,1,24,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r2,primary,multi_turn_miss_param_2,miss_param,compression,C3,static,qwen25_72b,2,6,0,1,1,0,10,1,1,16,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r2,primary,multi_turn_miss_param_2,miss_param,compression,C4,apca,qwen25_72b,2,2,0,1,1,0,23,1,1,32,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r3,primary,multi_turn_miss_param_2,miss_param,compression,C1,neutral,qwen25_72b,3,6,0,1,1,0,18,1,1,24,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r3,primary,multi_turn_miss_param_2,miss_param,compression,C3,static,qwen25_72b,3,6,0,1,1,0,10,1,1,16,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r3,primary,multi_turn_miss_param_2,miss_param,compression,C4,apca,qwen25_72b,3,2,0,1,1,0,23,1,1,32,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r4,primary,multi_turn_miss_param_2,miss_param,compression,C1,neutral,qwen25_72b,4,6,0,1,1,0,18,1,1,24,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r4,primary,multi_turn_miss_param_2,miss_param,compression,C3,static,qwen25_72b,4,6,0,1,1,0,10,1,1,16,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r4,primary,multi_turn_miss_param_2,miss_param,compression,C4,apca,qwen25_72b,4,2,0,1,1,0,23,1,1,32,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r5,primary,multi_turn_miss_param_2,miss_param,compression,C1,neutral,qwen25_72b,5,6,0,1,1,0,18,1,1,24,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C3|r5,primary,multi_turn_miss_param_2,miss_param,compression,C3,static,qwen25_72b,5,6,0,1,1,0,10,1,1,16,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C4|r5,primary,multi_turn_miss_param_2,miss_param,compression,C4,apca,qwen25_72b,5,2,0,1,1,0,23,1,1,32,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_base_191|qwen25_72b|C1|r0,primary,multi_turn_base_191,base,compression,C1,neutral,qwen25_72b,0,0,1,1,0,0,3,3,3,5,1,
confirmatory|bfcl|multi_turn_base_191|qwen25_72b|C3|r0,primary,multi_turn_base_191,base,compression,C3,static,qwen25_72b,0,0,1,1,0,0,3,3,3,5,1,
confirmatory|bfcl|multi_turn_base_191|qwen25_72b|C4|r0,primary,multi_turn_base_191,base,compression,C4,apca,qwen25_72b,0,0,1,1,0,0,3,3,3,5,1,
confirmatory|bfcl|multi_turn_base_191|qwen25_72b|C1|r1,primary,multi_turn_base_191,base,compression,C1,neutral,qwen25_72b,1,0,1,1,0,0,3,3,3,5,1,
